KEPH,Facility_category,Owner,County,whole_day,public_holidays,weekends,late_night
Level 2,MEDICAL CLINIC,Private Practice,Meru,No,No,Yes,No
Level 2,MEDICAL CLINIC,Private Practice,Muranga,No,No,Yes,No
Level 2,MEDICAL CLINIC,Private Practice,Muranga,No,No,No,No
Level 2,DISPENSARY,Faith Based Organization,Muranga,No,No,Yes,No
Level 2,DISPENSARY,Ministry of Health,Muranga,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Muranga,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Meru,No,No,No,No
Level 3,MEDICAL CENTER,Private Practice,Baringo,No,No,Yes,No
Level 2,MEDICAL CLINIC,Private Practice,Baringo,No,No,Yes,No
Level 2,DISPENSARY,Ministry of Health,Makueni,No,No,No,No
Level 3,MEDICAL CENTER,Private Practice,Kajiado,Yes,No,Yes,No
Level 4,HOSPITALS,Private Practice,Kajiado,Yes,No,Yes,No
Level 2,DISPENSARY,Ministry of Health,Meru,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Tharaka Nithi,No,No,Yes,No
Level 2,MEDICAL CLINIC,Private Practice,Tharaka Nithi,No,No,Yes,No
Level 2,MEDICAL CLINIC,Private Practice,Kakamega,No,No,Yes,No
Level 2,MEDICAL CLINIC,Private Practice,Tharaka Nithi,No,No,Yes,No
Level 2,MEDICAL CLINIC,Private Practice,Kakamega,Yes,No,Yes,Yes
Level 2,MEDICAL CLINIC,Private Practice,Kakamega,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Nairobi,No,No,Yes,No
Level 3,HEALTH CENTRE,Ministry of Health,Kakamega,No,No,Yes,No
Level 3,HEALTH CENTRE,Ministry of Health,Kakamega,Yes,No,Yes,No
Level 3,HEALTH CENTRE,Ministry of Health,Kakamega,Yes,No,Yes,No
Level 2,MEDICAL CLINIC,Private Practice,Meru,No,No,Yes,No
Level 2,MEDICAL CLINIC,Private Practice,Meru,No,No,Yes,No
Level 2,MEDICAL CLINIC,Private Practice,Nandi,Yes,No,Yes,No
Level 2,MEDICAL CLINIC,Private Practice,Nandi,No,No,Yes,No
Level 2,MEDICAL CLINIC,Private Practice,Tharaka Nithi,No,No,Yes,No
Level 2,MEDICAL CLINIC,Private Practice,Tharaka Nithi,No,No,Yes,No
Level 2,DISPENSARY,Faith Based Organization,Marsabit,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Marsabit,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Meru,No,No,Yes,No
Level 2,MEDICAL CLINIC,Private Practice,Vihiga,No,No,Yes,No
Level 2,MEDICAL CLINIC,Private Practice,Vihiga,No,No,Yes,No
Level 3,MEDICAL CENTER,Private Practice,Meru,No,No,Yes,No
Level 2,MEDICAL CLINIC,Private Practice,Meru,No,Yes,Yes,No
Level 2,MEDICAL CLINIC,Private Practice,Meru,No,No,Yes,No
Level 2,MEDICAL CLINIC,Private Practice,Machakos,No,No,Yes,No
Level 2,MEDICAL CLINIC,Private Practice,Machakos,No,No,Yes,No
Level 2,MEDICAL CLINIC,Private Practice,Machakos,No,No,Yes,No
Level 3,MEDICAL CENTER,Private Practice,Machakos,No,No,Yes,No
Level 2,MEDICAL CLINIC,Private Practice,Tharaka Nithi,No,No,Yes,No
Level 3,HEALTH CENTRE,Private Practice,Siaya,Yes,No,Yes,No
Level 2,MEDICAL CLINIC,Private Practice,Kitui,No,No,Yes,No
Level 2,DISPENSARY,Ministry of Health,Marsabit,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Kitui,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Kitui,No,No,Yes,No
Level 2,MEDICAL CLINIC,Private Practice,Kajiado,No,No,No,No
Level 4,HOSPITALS,Private Practice,Kajiado,Yes,No,Yes,No
Level 2,MEDICAL CLINIC,Private Practice,Kitui,No,No,No,No
Level 2,DISPENSARY,Faith Based Organization,Kitui,No,No,No,No
Level 3,MEDICAL CENTER,Private Practice,Migori,No,No,Yes,No
Level 2,MEDICAL CLINIC,Non-Governmental Organizations,Migori,No,No,Yes,No
Level 2,STAND ALONE,Non-Governmental Organizations,Nairobi,No,No,No,No
Level 3,HEALTH CENTRE,Ministry of Health,Nairobi,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Nairobi,No,No,Yes,No
Level 3,MEDICAL CENTER,Private Practice,Nairobi,Yes,No,Yes,No
Level 2,DISPENSARY,Ministry of Health,Homa Bay,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Bungoma,No,No,Yes,No
Level 2,MEDICAL CLINIC,Private Practice,Bungoma,Yes,No,Yes,No
Level 2,MEDICAL CLINIC,Private Practice,Bungoma,Yes,No,Yes,No
Level 2,DISPENSARY,Faith Based Organization,Nairobi,No,No,Yes,No
Level 2,MEDICAL CLINIC,Private Practice,Nairobi,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Muranga,No,No,Yes,No
Level 2,MEDICAL CLINIC,Non-Governmental Organizations,Tharaka Nithi,No,No,No,No
Level 2,MEDICAL CLINIC,Non-Governmental Organizations,Embu,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Kitui,No,No,Yes,No
Level 2,DISPENSARY,Ministry of Health,Kitui,No,No,Yes,No
Level 2,MEDICAL CLINIC,Private Practice,Kiambu,No,No,Yes,No
Level 2,DISPENSARY,Ministry of Health,Homa Bay,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Homa Bay,No,No,No,No
Level 2,DISPENSARY,Faith Based Organization,Nakuru,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Homa Bay,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Machakos,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Meru,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Meru,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Mombasa,No,No,Yes,No
Level 2,DISPENSARY,Ministry of Health,Meru,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Meru,No,No,No,No
Level 2,DISPENSARY,Faith Based Organization,Kisumu,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Homa Bay,No,No,Yes,No
Level 2,DISPENSARY,Ministry of Health,Kisumu,No,No,Yes,No
Level 2,DISPENSARY,Ministry of Health,Meru,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Meru,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Kiambu,No,No,Yes,No
Level 2,STAND ALONE,Ministry of Health,Uasin Gishu,No,No,Yes,No
Level 2,DISPENSARY,Ministry of Health,Nairobi,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Nairobi,No,No,Yes,No
Level 3,HEALTH CENTRE,Ministry of Health,Taita Taveta,No,No,Yes,No
Level 3,HEALTH CENTRE,Ministry of Health,Marsabit,Yes,No,Yes,No
Level 4,HOSPITALS,Ministry of Health,Marsabit,Yes,No,No,No
Level 2,DISPENSARY,Ministry of Health,Marsabit,No,No,No,No
Level 3,HEALTH CENTRE,Ministry of Health,Marsabit,Yes,No,Yes,No
Level 4,HOSPITALS,Private Practice,Bungoma,Yes,Yes,Yes,Yes
Level 3,HEALTH CENTRE,Private Practice,Mandera,Yes,No,Yes,No
Level 2,DISPENSARY,Ministry of Health,Meru,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Meru,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Meru,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Meru,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Turkana,No,No,Yes,No
Level 3,MEDICAL CENTER,Private Practice,Mombasa,No,No,Yes,No
Level 2,MEDICAL CLINIC,Private Practice,Mombasa,No,No,Yes,No
Level 2,MEDICAL CLINIC,Private Practice,Mombasa,No,No,Yes,No
Level 2,MEDICAL CLINIC,Private Practice,Mombasa,No,No,Yes,No
Level 2,MEDICAL CLINIC,Private Practice,Kiambu,No,No,Yes,No
Level 2,MEDICAL CLINIC,Private Practice,Machakos,No,No,Yes,No
Level 2,MEDICAL CLINIC,Private Practice,Machakos,No,No,Yes,No
Level 2,DISPENSARY,Faith Based Organization,Trans Nzoia,No,No,No,No
Level 2,MEDICAL CLINIC,Non-Governmental Organizations,Kirinyaga,No,No,No,No
Level 3,HEALTH CENTRE,Private Practice,Kirinyaga,No,No,Yes,No
Level 2,DISPENSARY,Ministry of Health,Marsabit,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Nakuru,No,No,Yes,No
Level 2,STAND ALONE,Non-Governmental Organizations,Nairobi,No,No,No,No
Level 2,STAND ALONE,Private Practice,Kakamega,No,No,Yes,No
Level 2,MEDICAL CLINIC,Private Practice,Kakamega,No,Yes,Yes,No
Level 2,DISPENSARY,Ministry of Health,Nakuru,No,No,No,No
Level 3,MEDICAL CENTER,Private Practice,Nakuru,Yes,No,Yes,No
Level 2,DISPENSARY,Ministry of Health,Garissa,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Marsabit,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Machakos,Yes,No,Yes,No
Level 2,MEDICAL CLINIC,Private Practice,Nakuru,No,No,Yes,No
Level 2,MEDICAL CLINIC,Private Practice,Kakamega,Yes,No,No,No
Level 3,MEDICAL CENTER,Private Practice,Turkana,No,Yes,Yes,Yes
Level 3,HEALTH CENTRE,Private Practice,Samburu,Yes,No,Yes,No
Level 2,DISPENSARY,Ministry of Health,Makueni,No,No,No,No
Level 4,HOSPITALS,Private Practice,Mombasa,Yes,No,Yes,No
Level 2,DISPENSARY,Ministry of Health,Makueni,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Wajir,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Nairobi,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Nairobi,Yes,No,Yes,No
Level 2,MEDICAL CLINIC,Non-Governmental Organizations,Mombasa,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Kakamega,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Garissa,No,No,No,No
Level 3,HEALTH CENTRE,Ministry of Health,Kisumu,No,No,No,No
Level 4,HOSPITALS,Ministry of Health,Garissa,Yes,No,Yes,No
Level 2,DISPENSARY,Ministry of Health,Nyandarua,No,No,No,No
Level 2,MEDICAL CLINIC,Non-Governmental Organizations,Nairobi,No,No,No,No
Level 2,DISPENSARY,Faith Based Organization,Nairobi,No,No,Yes,No
Level 2,MEDICAL CLINIC,Private Practice,Machakos,No,No,Yes,No
Level 2,MEDICAL CLINIC,Private Practice,Nyamira,Yes,No,Yes,No
Level 2,STAND ALONE,Private Practice,Nandi,No,No,Yes,No
Level 2,MEDICAL CLINIC,Non-Governmental Organizations,Nakuru,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Tharaka Nithi,No,No,Yes,No
Level 2,DISPENSARY,Ministry of Health,Lamu,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Siaya,Yes,No,Yes,No
Level 4,HOSPITALS,Private Practice,Narok,Yes,No,Yes,No
Level 2,DISPENSARY,Ministry of Health,Nyandarua,No,No,No,No
Level 3,HEALTH CENTRE,Ministry of Health,Nyandarua,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Machakos,Yes,No,Yes,No
Level 2,DISPENSARY,Ministry of Health,Kakamega,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Nairobi,No,No,Yes,No
Level 4,HOSPITALS,Private Practice,Uasin Gishu,Yes,No,Yes,No
Level 2,DISPENSARY,Ministry of Health,Tharaka Nithi,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Siaya,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Nyamira,Yes,No,Yes,No
Level 2,MEDICAL CLINIC,Private Practice,Nairobi,Yes,No,Yes,No
Level 3,NURSING HOME,Private Practice,Nairobi,Yes,No,Yes,No
Level 3,MEDICAL CENTER,Non-Governmental Organizations,Narok,No,No,No,No
Level 2,MEDICAL CLINIC,Non-Governmental Organizations,Narok,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Turkana,No,No,Yes,No
Level 2,MEDICAL CLINIC,Private Practice,Turkana,No,No,Yes,No
Level 2,DISPENSARY,Faith Based Organization,Nairobi,No,No,No,No
Level 3,HEALTH CENTRE,Ministry of Health,Kiambu,No,No,No,No
Level 3,HEALTH CENTRE,Private Practice,Kiambu,Yes,No,Yes,No
Level 2,DISPENSARY,Ministry of Health,Makueni,Yes,No,Yes,No
Level 2,MEDICAL CLINIC,Non-Governmental Organizations,Siaya,No,No,Yes,No
Level 2,MEDICAL CLINIC,Private Practice,Nairobi,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Trans Nzoia,No,No,Yes,No
Level 2,DISPENSARY,Ministry of Health,Trans Nzoia,No,No,No,No
Level 3,MEDICAL CENTER,Non-Governmental Organizations,Trans Nzoia,Yes,No,Yes,No
Level 3,HEALTH CENTRE,Private Practice,Trans Nzoia,Yes,No,Yes,No
Level 2,MEDICAL CLINIC,Private Practice,Mombasa,No,No,Yes,No
Level 3,MEDICAL CENTER,Non-Governmental Organizations,Nakuru,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Nakuru,No,No,Yes,No
Level 2,MEDICAL CLINIC,Private Practice,Baringo,No,No,Yes,No
Level 2,DISPENSARY,Faith Based Organization,Nairobi,No,No,Yes,No
Level 2,MEDICAL CLINIC,Private Practice,Nairobi,No,No,Yes,No
Level 2,DISPENSARY,Faith Based Organization,Nairobi,No,No,Yes,No
Level 2,DISPENSARY,Ministry of Health,Kericho,No,No,Yes,No
Level 2,MEDICAL CLINIC,Private Practice,Nairobi,Yes,No,Yes,No
Level 2,MEDICAL CLINIC,Private Practice,Vihiga,No,No,Yes,No
Level 3,MEDICAL CENTER,Private Practice,Nairobi,No,No,Yes,No
Level 4,HOSPITALS,Private Practice,Machakos,No,No,Yes,No
Level 3,HEALTH CENTRE,Ministry of Health,Turkana,Yes,No,Yes,No
Level 2,MEDICAL CLINIC,Private Practice,Meru,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Meru,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Meru,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Meru,No,No,No,No
Level 2,DISPENSARY,Faith Based Organization,Meru,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Meru,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Meru,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Meru,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Meru,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Meru,No,No,Yes,No
Level 2,MEDICAL CLINIC,Private Practice,Meru,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Kisumu,No,No,Yes,No
Level 2,MEDICAL CLINIC,Private Practice,Meru,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Kisumu,No,No,Yes,No
Level 3,MEDICAL CENTER,Private Practice,Kisumu,Yes,No,Yes,No
Level 3,MEDICAL CENTER,Private Practice,Kisumu,No,No,Yes,No
Level 2,MEDICAL CLINIC,Private Practice,Meru,No,No,Yes,No
Level 2,MEDICAL CLINIC,Private Practice,Meru,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Meru,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Meru,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Meru,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Meru,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Meru,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Machakos,No,No,Yes,No
Level 3,MEDICAL CENTER,Private Practice,Meru,No,No,No,No
Level 2,STAND ALONE,Private Practice,Meru,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Meru,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Meru,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Meru,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Meru,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Meru,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Meru,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Kiambu,No,No,No,No
Level 2,STAND ALONE,Private Practice,Meru,No,No,No,No
Level 2,DISPENSARY,Faith Based Organization,Makueni,No,No,No,No
Level 2,DISPENSARY,Faith Based Organization,Makueni,No,No,Yes,No
Level 2,DISPENSARY,Ministry of Health,Machakos,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Nakuru,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Kitui,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Kitui,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Kitui,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Kitui,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Kitui,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Kitui,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Kitui,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Kitui,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Kitui,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Nyandarua,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Kitui,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Kitui,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Nairobi,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Kirinyaga,No,No,No,No
Level 2,DISPENSARY,Faith Based Organization,Uasin Gishu,No,No,Yes,No
Level 2,DISPENSARY,Faith Based Organization,Machakos,No,No,Yes,No
Level 2,DISPENSARY,Ministry of Health,Bomet,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Bomet,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Bomet,No,No,No,No
Level 3,HEALTH CENTRE,Private Practice,Wajir,Yes,No,Yes,No
Level 2,DISPENSARY,Ministry of Health,Nairobi,No,No,No,No
Level 2,DISPENSARY,Faith Based Organization,Makueni,No,No,No,No
Level 2,DISPENSARY,Faith Based Organization,Makueni,No,No,Yes,No
Level 2,MEDICAL CLINIC,Private Practice,Nakuru,No,No,Yes,No
Level 2,DISPENSARY,Ministry of Health,Kiambu,No,No,Yes,No
Level 2,MEDICAL CLINIC,Non-Governmental Organizations,Tharaka Nithi,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Meru,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Meru,No,No,No,No
Level 4,HOSPITALS,Ministry of Health,Wajir,Yes,No,Yes,No
Level 2,STAND ALONE,Private Practice,Meru,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Meru,No,No,No,No
Level 3,HEALTH CENTRE,Private Practice,Meru,No,No,No,No
Level 3,HEALTH CENTRE,Private Practice,Meru,No,No,No,No
Level 3,HEALTH CENTRE,Private Practice,Meru,No,No,No,No
Level 3,HEALTH CENTRE,Private Practice,Meru,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Meru,No,No,Yes,No
Level 2,MEDICAL CLINIC,Private Practice,Meru,No,No,Yes,No
Level 2,MEDICAL CLINIC,Private Practice,Meru,No,No,Yes,No
Level 2,MEDICAL CLINIC,Private Practice,Meru,No,No,Yes,No
Level 3,MEDICAL CENTER,Private Practice,Meru,No,No,Yes,No
Level 2,DISPENSARY,Ministry of Health,Garissa,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Nairobi,No,No,Yes,No
Level 2,DISPENSARY,Ministry of Health,Nairobi,No,No,No,No
Level 3,NURSING HOME,Private Practice,Kakamega,Yes,No,No,No
Level 2,DISPENSARY,Ministry of Health,Kakamega,Yes,No,No,No
Level 2,DISPENSARY,Ministry of Health,Kakamega,Yes,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Turkana,No,No,Yes,No
Level 2,MEDICAL CLINIC,Private Practice,Meru,No,No,Yes,No
Level 2,MEDICAL CLINIC,Private Practice,Meru,No,No,Yes,No
Level 2,MEDICAL CLINIC,Private Practice,Meru,No,No,Yes,No
Level 3,HEALTH CENTRE,Private Practice,Kiambu,Yes,No,Yes,No
Level 2,DISPENSARY,Ministry of Health,Kericho,No,No,Yes,No
Level 2,MEDICAL CLINIC,Private Practice,Nairobi,No,No,Yes,No
Level 2,MEDICAL CLINIC,Private Practice,Nairobi,Yes,No,Yes,No
Level 2,MEDICAL CLINIC,Private Practice,Nairobi,Yes,No,Yes,No
Level 3,HEALTH CENTRE,Ministry of Health,Homa Bay,No,No,No,No
Level 3,HEALTH CENTRE,Ministry of Health,Kiambu,No,No,No,No
Level 2,MEDICAL CLINIC,Non-Governmental Organizations,Machakos,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Nakuru,No,No,Yes,No
Level 2,MEDICAL CLINIC,Private Practice,Nakuru,No,No,Yes,No
Level 2,DISPENSARY,Ministry of Health,Laikipia,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Kiambu,No,No,Yes,No
Level 2,DISPENSARY,Faith Based Organization,Taita Taveta,No,No,Yes,No
Level 2,STAND ALONE,Non-Governmental Organizations,Nakuru,No,No,No,No
Level 2,STAND ALONE,Non-Governmental Organizations,Nakuru,No,No,No,No
Level 2,DISPENSARY,Faith Based Organization,Nakuru,No,No,No,No
Level 4,HOSPITALS,Private Practice,Kiambu,Yes,Yes,Yes,No
Level 4,HOSPITALS,Ministry of Health,Makueni,Yes,No,Yes,No
Level 2,DISPENSARY,Ministry of Health,Laikipia,No,No,Yes,No
Level 3,NURSING HOME,Private Practice,Nairobi,Yes,No,Yes,No
Level 2,MEDICAL CLINIC,Private Practice,Baringo,No,Yes,Yes,No
Level 3,MEDICAL CENTER,Private Practice,Nairobi,No,No,Yes,No
Level 2,MEDICAL CLINIC,Private Practice,Nairobi,No,No,Yes,No
Level 2,DISPENSARY,Ministry of Health,Laikipia,Yes,No,Yes,No
Level 2,DISPENSARY,Ministry of Health,Machakos,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Kajiado,No,No,Yes,No
Level 2,DISPENSARY,Ministry of Health,Bungoma,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Bungoma,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Bungoma,No,No,No,No
Level 3,HEALTH CENTRE,Ministry of Health,Machakos,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Nyamira,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Kirinyaga,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Elgeyo Marakwet,No,No,Yes,No
Level 2,DISPENSARY,Ministry of Health,Nyamira,No,No,No,No
Level 3,MEDICAL CENTER,Private Practice,Nairobi,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Kitui,No,No,Yes,No
Level 2,MEDICAL CLINIC,Private Practice,Kwale,No,No,Yes,No
Level 2,MEDICAL CLINIC,Private Practice,Kiambu,No,No,No,No
Level 3,HEALTH CENTRE,Private Practice,Kitui,No,No,Yes,No
Level 2,DISPENSARY,Ministry of Health,Kitui,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Kitui,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Kitui,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Siaya,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Bungoma,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Kiambu,No,No,No,No
Level 3,HEALTH CENTRE,Non-Governmental Organizations,Kiambu,Yes,No,Yes,No
Level 2,MEDICAL CLINIC,Private Practice,Kiambu,No,No,No,No
Level 2,MEDICAL CLINIC,Non-Governmental Organizations,Siaya,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Kiambu,No,No,Yes,No
Level 2,MEDICAL CLINIC,Private Practice,Kiambu,Yes,No,Yes,No
Level 2,MEDICAL CLINIC,Private Practice,Kiambu,Yes,No,Yes,No
Level 3,HEALTH CENTRE,Private Practice,Kiambu,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Kiambu,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Kitui,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Kitui,No,No,No,No
Level 2,STAND ALONE,Non-Governmental Organizations,Bungoma,No,No,No,No
Level 2,DISPENSARY,Faith Based Organization,Muranga,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Nandi,No,No,Yes,No
Level 3,HEALTH CENTRE,Private Practice,Embu,Yes,No,Yes,No
Level 2,MEDICAL CLINIC,Private Practice,Makueni,Yes,No,Yes,No
Level 2,STAND ALONE,Non-Governmental Organizations,Nairobi,No,No,No,No
Level 2,DISPENSARY,Faith Based Organization,Kiambu,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Kajiado,No,No,Yes,No
Level 2,DISPENSARY,Ministry of Health,Muranga,No,No,No,No
Level 2,STAND ALONE,Faith Based Organization,Nairobi,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Garissa,No,No,Yes,No
Level 3,HEALTH CENTRE,Ministry of Health,Trans Nzoia,No,No,Yes,No
Level 2,DISPENSARY,Ministry of Health,Homa Bay,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Homa Bay,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Kitui,No,No,No,No
Level 2,STAND ALONE,Non-Governmental Organizations,Kajiado,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Bomet,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Bomet,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Bomet,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Bomet,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Bomet,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Bomet,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Bomet,No,No,No,No
Level 3,HEALTH CENTRE,Ministry of Health,Bomet,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Nyeri,No,No,No,No
Level 3,HEALTH CENTRE,Ministry of Health,Kitui,No,No,No,No
Level 2,DISPENSARY,Faith Based Organization,Trans Nzoia,Yes,No,Yes,No
Level 3,HEALTH CENTRE,Ministry of Health,Kitui,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Kitui,No,No,No,No
Level 3,HEALTH CENTRE,Faith Based Organization,Vihiga,Yes,No,No,No
Level 2,DISPENSARY,Ministry of Health,Kajiado,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Kitui,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Kitui,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Kitui,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Bomet,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Nairobi,No,No,No,No
Level 2,MEDICAL CLINIC,Non-Governmental Organizations,Migori,No,No,Yes,No
Level 2,DISPENSARY,Faith Based Organization,Meru,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Kitui,No,No,No,No
Level 2,DISPENSARY,Ministry of Health,Nandi,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Kwale,Yes,No,Yes,No
Level 2,DISPENSARY,Faith Based Organization,Nairobi,No,No,No,No
Level 2,DISPENSARY,Faith Based Organization,Nairobi,No,No,No,No
Level 2,STAND ALONE,Non-Governmental Organizations,Kajiado,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Bomet,No,No,Yes,No
Level 2,DISPENSARY,Ministry of Health,Nairobi,No,No,No,No
Level 2,MEDICAL CLINIC,Private Practice,Nairobi,No,No,Yes,No
